User,Teks,Waktu,Sumber,Teks_Bersih
radajuita Sari,aplikasi tidak bisa di nonaktifkan,3/8/2026 12:38,Shopee,aplikasi nonaktifkan
Risal HDR,cuma saya ko GK bisa cod ya tolong lha,3/8/2026 12:37,Shopee,cuma cod tolong lha
Natanael,cs shope parah.di komplain 2 hari krn driver tdk dtg pick up brg seller.malah laporan nya main diselesaikan saja.tanpa ada penyelesaian nya.,3/8/2026 12:36,Shopee,shope parah komplain hari krn driver tdk dtg pick brg seller malah laporan main diselesaikan tanpa penyelesaian
Azalea Purindha,sangat mantap,3/8/2026 12:35,Shopee,mantap
Abdul rosid official,jos,3/8/2026 12:33,Shopee,jos
irawati iriyani,"kenapa akun spaylater dan spinjam saya dibekukan? padahal sudah 2th lebih lunas, bagaimana solusinya?",3/8/2026 12:33,Shopee,kenapa akun spaylater spinjam dibekukan padahal lunas bagaimana solusinya
hapis hapis,mantab,3/8/2026 12:32,Shopee,mantab
ASNANI,"kalian nih sibuk update yg gak penting,coba perbaiki pengiriman, masa sistem sudah sampai dikota sama malah balik ke kota sebelumnya,habis itu balik lagi coba perbaiki sistem rute nya",3/8/2026 12:30,Shopee,kalian nih sibuk update penting coba perbaiki pengiriman masa sistem dikota malah balik kota sebelumnya habis balik coba perbaiki sistem rute
Tri Wahyuni,banyak diskon,3/8/2026 12:29,Shopee,diskon
Bayu Sumpena,rekomended,3/8/2026 12:28,Shopee,rekomended
Thereal Yulia Purwati,Beli undangan malah di batalin otomatis udah tau butuh banget buat acara penting,3/8/2026 12:26,Shopee,beli undangan malah batalin otomatis tau butuh banget acara penting
Erik Sofan,skrng pengiriman jdi lama ga satset,3/8/2026 12:26,Shopee,skrng pengiriman jdi lama satset
Mobile Legend05,"DC Cakunggggg lambatt, pakettt stuckk",3/8/2026 12:25,Shopee,cakunggggg lambatt pakettt stuckk
Budi Jarot,selalu mengerti dan berwawasan baik,3/8/2026 12:23,Shopee,selalu mengerti berwawasan baik
Rahmawati Indri,good,3/8/2026 12:22,Shopee,good
Tengku M. Iqbal,"beli di shopee deg degan.. untung²an... Barangnya banyak yg kualitas nya hancur... beberapa kali beli, banyak yg mengecewakan.... gak sesuai dgn tampilan gambar... Kalah menang lbh aman beli di toko langsung...",3/8/2026 12:22,Shopee,beli shopee deg degan untung barangnya kualitas hancur beberapa kali beli mengecewakan sesuai dgn tampilan gambar kalah menang lbh aman beli toko langsung
Herlina Lina,"paylatter udh dilunasin tpi ditangguhkan,udah 2 tahunnn !!!!",3/8/2026 12:21,Shopee,paylatter udh dilunasin tpi ditangguhkan tahunnn
Mollong Ajha,pengirimannya sekarang makin lama,3/8/2026 12:21,Shopee,pengirimannya sekarang makin lama
Khabibatul Rizqy,baik,3/8/2026 12:21,Shopee,baik
Nafisatun Hasanah,bagus,3/8/2026 12:19,Shopee,bagus
Eva vha,bgusss,3/8/2026 12:18,Shopee,bgusss
Jihanaura Salwasalsabila,bagus dan sangat sempurna untuk belanja online! ❤️✨,3/8/2026 12:18,Shopee,bagus sempurna belanja online
Awan Setiawan,belanja disopimemang oke tapi masalah onkirtolong disesuaikan aja karena barang yang dipesan setelah dilihat onkirnya terlalu mahal ahirnyadi batalkan,3/8/2026 12:17,Shopee,belanja disopimemang oke masalah onkirtolong disesuaikan barang dipesan setelah dilihat onkirnya terlalu mahal ahirnyadi batalkan
Mohammadnasir Bwi,"Belanja di shopee ok banget. Amanah, harga barang murah",3/8/2026 12:15,Shopee,belanja shopee banget amanah harga barang murah
Tashorruf,aolikasi tambah update tambah buffering hadeh shopee,3/8/2026 12:11,Shopee,aolikasi tambah update tambah buffering hadeh shopee
Ari Maryani,bagus,3/8/2026 12:08,Shopee,bagus
Liona Leviani,seru bngt belanja disini bisa cod,3/8/2026 12:08,Shopee,seru bngt belanja disini cod
Tahir Hajahsunang,"platform terbaik penjualan, sangat terbantu adanya Shopee",3/8/2026 12:07,Shopee,platform terbaik penjualan terbantu adanya shopee
Anggi Purnama,ok,3/8/2026 12:07,Shopee,
Yuni Ati,"sangat senang belanja di Shopee murah"" dan praktis tinggal duduk manis d rmh barang sampai",3/8/2026 12:06,Shopee,senang belanja shopee murah praktis tinggal duduk manis rmh barang
ilmiyatul Rifka,semenjak ada Shopee belanja jadi mudah jadi tidak harus keluar rumah aku udah lama langganan Shopee dan selalu memuas kan seller dan kurir nya juga ramah.,3/8/2026 12:06,Shopee,semenjak shopee belanja mudah harus keluar rumah lama langganan shopee selalu memuas kan seller kurir ramah
Riyanti Ana,"lebih murah, banyak diskon dan gratis ongkir",3/8/2026 12:05,Shopee,murah diskon gratis ongkir
ILham Bowo,"Tidak sesuai PENGIRIMAN, pesanan tanggal 6 (jumat) sudah berbayar paling mahal hampir 50 ribu, estimasi tiba 1 hari di tanggal 7 (sabtu)... TIDAK KUNJUNG DATANG TEPAT WAKTU (tidak amanah) saya mencoba komplain penjual dijawab oleh Asisten Chat ..tidak menyelesaikan masalah tidak bisa ombrol dengan penjual langsung. diproses aplikasi chat Shopee juga tidak MENYELESAIKAN MASALAH. estimasi tiba di tanggal 9 (senin) dimana dihari jam kerja umumnya .Saya kecewa dengan pelayanan SHOPEE MENYESAL",3/8/2026 12:04,Shopee,sesuai pengiriman pesanan tanggal jumat berbayar paling mahal hampir ribu estimasi tiba hari tanggal sabtu kunjung datang tepat waktu amanah mencoba komplain penjual dijawab oleh asisten chat menyelesaikan masalah ombrol penjual langsung diproses aplikasi chat shopee menyelesaikan masalah estimasi tiba tanggal senin dimana dihari jam kerja umumnya kecewa pelayanan shopee menyesal
bubu blaster,"spx parah sudah nunggu lama dari tgl 3 sampe tgl 8 malah di batalkan yg lebih parahnya barang sudah deket alamat malah balik lagi ke cakung alasannya salah jalur dan lebih parah lagi sudah hubungi cs sampe 3x hanya php doang jadi cs seolah hanya tempat curhat karena tetap ikuti spx bukan solusi untuk customer, spx yg salah customer yg dirugikan nunggu seminggu dibatalkan dan musti pesan ulang nunggu lagi ntah berapa lama lagi kalau salah jalur lagi apa ga di batalin sepihak lagi?",3/8/2026 12:03,Shopee,spx parah nunggu lama tgl sampe tgl malah batalkan parahnya barang deket alamat malah balik cakung alasannya salah jalur parah hubungi sampe php doang seolah tempat curhat tetap ikuti spx bukan solusi customer spx salah customer dirugikan nunggu seminggu dibatalkan musti pesan ulang nunggu ntah berapa lama salah jalur batalin sepihak
Padli Idli,bagus,3/8/2026 12:00,Shopee,bagus
Anonym,"bertahun2 pake Shopee ,baru kali ini kecewa berat. paket udah di kurir, tinggal anter aja sampe 3hari berturut2 ngga sampe2, takutnya paket udah keburu rusak dijalan karna udah berhari2 ketimpa paket lain& dibawa2 kurir. tolonglah buat kurirnya kalo emang gak bisa anter paling ngga ngabarin.",3/8/2026 11:58,Shopee,bertahun pake shopee baru kali kecewa berat paket kurir tinggal anter sampe hari berturut ngga sampe takutnya paket keburu rusak dijalan berhari ketimpa paket lain dibawa kurir tolonglah kurirnya emang anter paling ngga ngabarin
Epo Fira,aplikasi bagus mudah memesan barang atau lain ²,3/8/2026 11:58,Shopee,aplikasi bagus mudah memesan barang lain
hilal rahmatullah,aplikasi rusak,3/8/2026 11:57,Shopee,aplikasi rusak
Suci Nabilla,aku bisa belanja setiap hari dengan harga yg murahh,3/8/2026 11:57,Shopee,belanja setiap hari harga murahh
